Unicode,Glyph Name,Character
e3f9,code-pull-request-closed,
e3fa,code-pull-request-draft,
e3fb,coin-blank,
e3fc,coin-front,
e3fd,coin-vertical,
e3fe,corner,
e3ff,crab,
e400,soft-serve,
e401,cucumber,
e402,cupcake,
e403,custard,
e404,dash,
e405,diamond-exclamation,
e406,donut,
e407,down-from-dotted-line,
e408,down-to-dotted-line,
e409,face-awesome,
e40a,falafel,
e40b,flatbread,
e40c,flatbread-stuffed,
e40d,fondue-pot,
e40e,garlic,
e410,grip-dots,
e411,grip-dots-vertical,
e412,h5,
e413,h6,
e414,hammer-crash,
e415,hashtag-lock,
e416,hexagon-check,
e417,hexagon-exclamation,
e418,honey-pot,
e419,hose,
e41a,hose-reel,
e41b,hourglass-clock,
e41c,hundred-points,
e41d,leafy-green,
e41e,left-long-to-line,
e41f,light-emergency,
e420,light-emergency-on,
e421,lobster,
e422,lock-a,
e423,lock-hashtag,
e424,lollipop,
e425,mushroom,
e426,octagon-check,
e427,onion,
e428,page,
e429,page-caret-down,
e42a,page-caret-up,
e42b,pan-food,
e42c,pan-frying,
e42d,pancakes,
e42e,panel-ews,
e42f,panel-fire,
e430,peanut,
e431,peanuts,
e432,pepper,
e433,person-to-door,
e434,phone-intercom,
e435,pickleball,
e436,pipe-circle-check,
e437,pipe-collar,
e438,pipe-section,
e439,pipe-valve,
e43b,plate-utensils,
e43c,plus-minus,
e43d,pompebled,
e43e,popsicle,
e43f,pot-food,
e440,potato,
e441,pretzel,
e442,pump,
e443,puzzle,
e444,right-long-to-line,
e445,sailboat,
e446,salt-shaker,
e447,section,
e448,shrimp,
e449,shutters,
e44b,sportsball,
e44c,sprinkler-ceiling,
e44d,square-a-lock,
e44e,square-quarters,
e44f,square-ring,
e450,squid,
e451,tamale,
e452,tank-water,
e453,train-track,
e454,train-tunnel,
e455,turn-down-right,
e456,up-from-dotted-line,
e457,up-to-dotted-line,
e458,user-doctor-hair,
e459,user-doctor-hair-long,
e45a,user-hair,
e45b,user-hair-long,
e45c,user-hair-mullet,
e45d,user-nurse-hair,
e45e,user-nurse-hair-long,
e45f,user-tie-hair,
e460,user-tie-hair-long,
e461,user-vneck,
e462,user-vneck-hair,
e463,user-vneck-hair-long,
e464,utensils-slash,
e465,vent-damper,
e466,waffle,
e467,00,
e468,apartment,
e469,bird,
e46a,block,
e46b,bowl-soft-serve,
e46c,brazilian-real-sign,
e46d,cabin,
e46e,calendar-circle-exclamation,
e46f,calendar-circle-minus,
e470,calendar-circle-plus,
e471,calendar-circle-user,
e472,calendar-lines-pen,
e473,chart-simple,
e474,chart-simple-horizontal,
e475,diagram-cells,
e476,diagram-next,
e477,diagram-predecessor,
e478,diagram-previous,
e479,diagram-subtask,
e47a,diagram-successor,
e47b,earth-oceania,
e47c,face-beam-hand-over-mouth,
e47d,face-clouds,
e47e,face-diagonal-mouth,
e47f,face-dotted,
e480,face-exhaling,
e481,face-hand-peeking,
e482,face-holding-back-tears,
e483,face-melting,
e484,face-saluting,
e485,face-spiral-eyes,
e486,fort,
e487,house-blank,
e488,square-kanban,
e489,square-list,
e48a,sushi,
e48b,sushi-roll,
e48c,album-circle-plus,
e48d,album-circle-user,
e48e,album-collection-circle-plus,
e48f,album-collection-circle-user,
e490,bug-slash,
e491,cloud-exclamation,
e492,cloud-question,
e493,file-circle-info,
e494,file-circle-plus,
e495,frame,
e496,gauge-circle-bolt,
e497,gauge-circle-minus,
e498,gauge-circle-plus,
e49a,memo-circle-info,
e49c,object-exclude,
e49d,object-intersect,
e49e,object-subtract,
e49f,object-union,
e4a1,pen-nib-slash,
e4a2,rectangle-history,
e4a3,rectangle-history-circle-plus,
e4a4,rectangle-history-circle-user,
e4a5,shop-lock,
e4a6,store-lock,
e4a7,user-robot-xmarks,
e4a8,virus-covid,
e4a9,virus-covid-slash,
e4aa,anchor-circle-check,
e4ab,anchor-circle-exclamation,
e4ac,anchor-circle-xmark,
e4ad,anchor-lock,
e4ae,arrow-down-to-arc,
e4af,arrow-down-up-across-line,
e4b0,arrow-down-up-lock,
e4b1,arrow-right-from-arc,
e4b2,arrow-right-to-arc,
e4b3,arrow-right-to-city,
e4b4,arrow-up-from-arc,
e4b5,arrow-up-from-ground-water,
e4b6,arrow-up-from-water-pump,
e4b7,arrow-up-right-dots,
e4b8,arrows-down-to-line,
e4b9,arrows-down-to-people,
e4ba,arrows-left-right-to-line,
e4bb,arrows-spin,
e4bc,arrows-split-up-and-left,
e4bd,arrows-to-circle,
e4be,arrows-to-dot,
e4bf,arrows-to-eye,
e4c0,arrows-turn-right,
e4c1,arrows-turn-to-dots,
e4c2,arrows-up-to-line,
e4c3,bore-hole,
e4c4,bottle-droplet,
e4c5,bottle-water,
e4c6,bowl-food,
e4c7,boxes-packing,
e4c8,bridge,
e4c9,bridge-circle-check,
e4ca,bridge-circle-exclamation,
e4cb,bridge-circle-xmark,
e4cc,bridge-lock,
e4cd,bridge-suspension,
e4ce,bridge-water,
e4cf,bucket,
e4d0,bugs,
e4d1,building-circle-arrow-right,
e4d2,building-circle-check,
e4d3,building-circle-exclamation,
e4d4,building-circle-xmark,
e4d5,building-flag,
e4d6,building-lock,
e4d7,building-ngo,
e4d8,building-shield,
e4d9,building-un,
e4da,building-user,
e4db,building-wheat,
e4dc,burst,
e4dd,car-on,
e4de,car-tunnel,
e4df,cards-blank,
e4e0,child-combatant,
e4e1,children,
e4e2,circle-nodes,
e4e3,clipboard-question,
e4e4,cloud-showers-water,
e4e5,computer,
e4e6,cubes-stacked,
e4e7,down-to-bracket,
e4e8,envelope-circle-check,
e4e9,explosion,
e4ea,ferry,
e4eb,file-circle-exclamation,
e4ec,file-circle-info,
e4ed,file-circle-minus,
e4ee,file-circle-plus,
e4ef,file-circle-question,
e4f0,file-shield,
e4f1,fire-burner,
e4f2,fish-fins,
e4f3,flask-vial,
e4f4,glass-water,
e4f5,glass-water-droplet,
e4f6,group-arrows-rotate,
e4f7,hand-holding-hand,
e4f8,handcuffs,
e4f9,hands-bound,
e4fa,hands-holding-child,
e4fb,hands-holding-circle,
e4fc,heart-circle-bolt,
e4fd,heart-circle-check,
e4fe,heart-circle-exclamation,
e4ff,heart-circle-minus,
e500,heart-circle-plus,
e501,heart-circle-xmark,
e502,helicopter-symbol,
e503,helmet-un,
e504,hexagon-image,
e505,hexagon-vertical-nft,
e506,hexagon-vertical-nft-slanted,
e507,hill-avalanche,
e508,hill-rockslide,
e509,house-circle-check,
e50a,house-circle-exclamation,
e50b,house-circle-xmark,
e50c,house-fire,
e50d,house-flag,
e50e,house-flood-water,
e50f,house-flood-water-circle-arrow-right,
e510,house-lock,
e511,house-medical-circle-check,
e512,house-medical-circle-exclamation,
e513,house-medical-circle-xmark,
e514,house-medical-flag,
e515,house-tsunami,
e516,jar,
e517,jar-wheat,
e518,jet-fighter-up,
e519,jug-detergent,
e51a,kitchen-set,
e51b,land-mine-on,
e51c,landmark-flag,
e51d,laptop-file,
e51e,lines-leaning,
e51f,location-pin-lock,
e520,locust,
e521,magnifying-glass-arrow-right,
e522,magnifying-glass-chart,
e523,mars-and-venus-burst,
e524,mask-ventilator,
e525,mattress-pillow,
e526,merge,
e527,mobile-retro,
e528,money-bill-transfer,
e529,money-bill-trend-up,
e52a,money-bill-wheat,
e52b,mosquito,
e52c,mosquito-net,
e52d,mound,
e52e,mountain-city,
e52f,mountain-sun,
e531,nfc-symbol,
e532,oil-well,
e533,people-group,
e534,people-line,
e535,people-pulling,
e536,people-robbery,
e537,people-roof,
e538,person-arrow-down-to-line,
e539,person-arrow-up-from-line,
e53a,person-breastfeeding,
e53b,person-burst,
e53c,person-cane,
e53d,person-chalkboard,
e53e,person-circle-check,
e53f,person-circle-exclamation,
e540,person-circle-minus,
e541,person-circle-plus,
e542,person-circle-question,
e543,person-circle-xmark,
e544,person-dress-burst,
e545,person-drowning,
e546,person-falling,
e547,person-falling-burst,
e548,person-half-dress,
e549,person-harassing,
e54a,person-military-pointing,
e54b,person-military-rifle,
e54c,person-military-to-person,
e54d,person-rays,
e54e,person-rifle,
e54f,person-shelter,
e550,person-to-door,
e551,person-walking-arrow-loop-left,
e552,person-walking-arrow-right,
e553,person-walking-dashed-line-arrow-right,
e554,person-walking-luggage,
e555,plane-circle-check,
e556,plane-circle-exclamation,
e557,plane-circle-xmark,
e558,plane-lock,
e559,plate-utensils,
e55a,plate-wheat,
e55b,plug-circle-bolt,
e55c,plug-circle-check,
e55d,plug-circle-exclamation,
e55e,plug-circle-minus,
e55f,plug-circle-plus,
e560,plug-circle-xmark,
e561,ranking-star,
e562,road-barrier,
e563,road-bridge,
e564,road-circle-check,
e565,road-circle-exclamation,
e566,road-circle-xmark,
e567,road-lock,
e568,road-spikes,
e569,rug,
e56a,sack-xmark,
e56b,school-circle-check,
e56c,school-circle-exclamation,
e56d,school-circle-xmark,
e56e,school-flag,
e56f,school-lock,
e571,sheet-plastic,
e572,shield-cat,
e573,shield-dog,
e574,shield-heart,
e575,shield-quartered,
e576,square-nfi,
e577,square-person-confined,
e578,square-virus,
e579,staff-snake,
e57a,sun-plant-wilt,
e57b,tarp,
e57c,tarp-droplet,
e57d,tent,
e57e,tent-arrow-down-to-line,
e57f,tent-arrow-left-right,
e580,tent-arrow-turn-left,
e581,tent-arrows-down,
e582,tents,
e583,toilet-portable,
e584,toilets-portable,
e585,tower-cell,
e586,tower-observation,
e587,tree-city,
e588,trillium,
e589,trowel,
e58a,trowel-bricks,
e58b,truck-arrow-right,
e58c,truck-droplet,
e58d,truck-field,
e58e,truck-field-un,
e58f,truck-plane,
e590,up-from-bracket,
e591,users-between-lines,
e592,users-line,
e593,users-rays,
e594,users-rectangle,
e595,users-viewfinder,
e596,vial-circle-check,
e597,vial-virus,
e598,wheat-awn-circle-exclamation,
e599,worm,
e59a,xmarks-lines,
e59b,xmark-large,
e59c,child-dress,
e59d,child-reaching,
e59e,plus-large,
e59f,crosshairs-simple,
e5a0,file-circle-check,
e5a1,file-circle-xmark,
e5a2,gamepad-modern,
e5a3,grill,
e5a4,grill-fire,
e5a5,grill-hot,
e5a6,lightbulb-cfl,
e5a7,lightbulb-cfl-on,
e5a8,mouse-field,
e5a9,person-through-window,
e5aa,plant-wilt,
e5ab,ring-diamond,
e5af,stapler,
e5b0,toggle-large-off,
e5b1,toggle-large-on,
e5b2,toilet-paper-check,
e5b3,toilet-paper-xmark,
e5b4,train-tram,
e5b5,buoy,
e5b6,buoy-mooring,
e5b7,diamond-half,
e5b8,diamond-half-stroke,
e5b9,game-console-handheld-crank,
e5ba,interrobang,
e5bb,mailbox-flag-up,
e5bc,mustache,
e5bd,nose,
e5be,phone-arrow-right,
e5bf,pickaxe,
e5c0,prescription-bottle-pill,
e5c1,snowflake-droplets,
e5c2,square-dashed-circle-plus,
e5c3,tricycle,
e5c4,tricycle-adult,
e5c5,user-magnifying-glass,
e5c8,comment-heart,
e5c9,message-heart,
e5ca,pencil-mechanical,
e5cb,skeleton-ribs,
e5cd,billboard,
e5ce,circle-euro,
e5cf,circle-sterling,
e5d0,circle-yen,
e5d1,broom-wide,
e5d2,wreath-laurel,
e5d3,circle-quarter-stroke,
e5d4,circle-three-quarters-stroke,
e5d5,webhook,
e5d6,sparkle,
e5d7,chart-line-up-down,
e5d8,chart-mixed-up-circle-currency,
e5d9,chart-mixed-up-circle-dollar,
e5da,grid-round,
e5db,grid-round-2,
e5dc,grid-round-2-plus,
e5dd,grid-round-4,
e5de,grid-round-5,
e5df,arrow-progress,
e5e1,right-left-large,
e5e2,calendar-users,
e5e3,display-chart-up,
e5e5,display-chart-up-circle-currency,
e5e6,display-chart-up-circle-dollar,
e5e7,laptop-binary,
e5e8,gear-code,
e5e9,gear-complex,
e5eb,gear-complex-code,
e5ed,file-doc,
e5ee,file-zip,
e5f1,flask-gear,
e5f2,bag-seedling,
e5f5,bin-bottles,
e5f6,bin-bottles-recycle,
e5f7,bin-recycle,
e5f8,conveyor-belt-arm,
e5fb,jug-bottle,
e5fd,lightbulb-gear,
e5fe,dinosaur,
e5ff,person-running-fast,
e600,circles-overlap,
e601,cloud-binary,
e602,chf-sign,
e603,user-group-simple,
e604,chart-pie-simple-circle-currency,
e605,chart-pie-simple-circle-dollar,
e606,hat-beach,
e607,person-dress-fairy,
e608,person-fairy,
e609,swap,
e60a,swap-arrows,
e60d,angles-up-down,
e60e,globe-pointer,
e60f,subtitles,
e610,subtitles-slash,
e611,head-side-gear,
e612,lighthouse,
e613,raccoon,
e614,arrow-down-from-arc,
e615,arrow-left-from-arc,
e616,arrow-left-to-arc,
e617,arrow-up-to-arc,
e61c,building-magnifying-glass,
e61e,building-memo,
e620,hammer-brush,
e621,hand-holding-circle-dollar,
e622,landmark-magnifying-glass,
e624,sign-post,
e625,sign-posts,
e626,sign-posts-wrench,
e627,tent-double-peak,
e628,truck-utensils,
e629,t-rex,
e62a,spinner-scale,
e62c,bell-ring,
e630,arrows-rotate-reverse,
e631,rotate-reverse,
e632,arrow-turn-left,
e633,arrow-turn-left-down,
e634,arrow-turn-left-up,
e635,arrow-turn-right,
e636,turn-left,
e637,turn-left-down,
e638,turn-left-up,
e639,turn-right,
e63a,location-arrow-up,
e63e,ticket-perforated,
e63f,tickets-perforated,
e642,cannon,
e643,court-sport,
e644,file-eps,
e645,file-gif,
e646,file-jpg,
e647,file-mov,
e648,file-mp3,
e649,file-mp4,
e64a,file-ppt,
e64b,file-svg,
e64c,file-vector,
e64d,file-xls,
e64e,folder-check,
e64f,chart-kanban,
e650,bag-shopping-minus,
e651,bag-shopping-plus,
e652,basket-shopping-minus,
e653,basket-shopping-plus,
e654,file-xml,
e655,bulldozer,
e656,excavator,
e657,truck-ladder,
e658,tickets,
e659,tickets-simple,
e65a,truck-fire,
e65b,wave,
e65d,waves-sine,
e65e,magnifying-glass-arrows-rotate,
e65f,magnifying-glass-music,
e660,magnifying-glass-play,
e661,magnifying-glass-waveform,
e662,music-magnifying-glass,
e664,reflect-horizontal,
e665,reflect-vertical,
e666,file-png,
e667,arrow-down-from-bracket,
e668,arrow-left-from-bracket,
e669,arrow-left-to-bracket,
e66a,arrow-up-to-bracket,
e66b,down-from-bracket,
e66c,left-from-bracket,
e66d,left-to-bracket,
e66e,up-to-bracket,
e66f,reflect-both,
e672,file-cad,
e673,bottle-baby,
e678,table-cells-column-lock,
e679,table-cells-lock,
e67a,table-cells-row-lock,
e67d,circle-wifi,
e67e,circle-wifi-circle-wifi,
e67f,circle-gf,
e680,ant,
e681,caduceus,
e682,web-awesome,
e685,globe-wifi,
e686,hydra,
e687,lightbulb-message,
e688,octopus,
e689,user-beard-bolt,
e68a,user-hoodie,
e68b,diamonds-4,
e68f,thumbtack-slash,
e690,table-cells-column-unlock,
e691,table-cells-row-unlock,
e692,table-cells-unlock,
e695,chart-diagram,
e696,comment-nodes,
e697,file-fragment,
e698,file-half-dashed,
e699,hexagon-nodes,
e69a,hexagon-nodes-bolt,
e69b,square-binary,
e69c,carpool,
e69d,chart-sine,
e69e,chart-fft,
e6a1,circles-overlap-3,
f000,martini-glass-empty,
f001,music,
f002,magnifying-glass,
f003,envelope,
f004,heart,
f005,star,
f006,star,
f007,user,
f008,film,
f009,table-cells-large,
f00a,table-cells,
f00b,table-list,
f00c,check,
f00d,xmark,
f00e,magnifying-glass-plus,
f010,magnifying-glass-minus,
f011,power-off,
f012,signal,
f013,gear,
f014,trash-can,
f015,house,
f016,file,
f017,clock,
f018,road,
f019,download,
f01a,circle-down,
f01b,circle-up,
f01c,inbox,
f01d,circle-play,
f01e,arrow-rotate-right,
f021,arrows-rotate,
f022,rectangle-list,
f023,lock,
f024,flag,
f025,headphones,
f026,volume-off,
f027,volume-low,
f028,volume-high,
f029,qrcode,
f02a,barcode,
f02b,tag,
f02c,tags,
f02d,book,
f02e,bookmark,
f02f,print,
f030,camera,
f031,font,
f032,bold,
f033,italic,
f034,text-height,
f035,text-width,
f036,align-left,
f037,align-center,
f038,align-right,
f039,align-justify,
f03a,list,
f03b,outdent,
f03c,indent,
f03d,video,
f03e,image,
f040,pencil,
f041,location-pin,
f042,circle-half-stroke,
f043,droplet,
f044,pen-to-square,
f045,share-from-square,
f046,square-check,
f047,arrows-up-down-left-right,
f048,backward-step,
f049,backward-fast,
f04a,backward,
f04b,play,
f04c,pause,
f04d,stop,
f04e,forward,
f050,forward-fast,
f051,forward-step,
f052,eject,
f053,chevron-left,
f054,chevron-right,
f055,circle-plus,
f056,circle-minus,
f057,circle-xmark,
f058,circle-check,
f059,circle-question,
f05a,circle-info,
f05b,crosshairs,
f05c,circle-xmark,
f05d,circle-check,
f05e,ban,
f060,arrow-left,
f061,arrow-right,
f062,arrow-up,
f063,arrow-down,
f064,share,
f065,expand,
f066,compress,
f067,plus,
f068,minus,
f069,asterisk,
f06a,circle-exclamation,
f06b,gift,
f06c,leaf,
f06d,fire,
f06e,eye,
f070,eye-slash,
f071,triangle-exclamation,
f072,plane,
f073,calendar-days,
f074,shuffle,
f075,comment,
f076,magnet,
f077,chevron-up,
f078,chevron-down,
f079,retweet,
f07a,cart-shopping,
f07b,folder,
f07c,folder-open,
f07d,arrows-up-down,
f07e,arrows-left-right,
f080,chart-bar,
f083,camera-retro,
f084,key,
f085,gears,
f086,comments,
f087,thumbs-up,
f088,thumbs-down,
f089,star-half,
f08a,heart,
f08b,arrow-right-from-bracket,
f08d,thumbtack,
f08e,arrow-up-right-from-square,
f090,arrow-right-to-bracket,
f091,trophy,
f093,upload,
f094,lemon,
f095,phone,
f096,square,
f097,bookmark,
f098,square-phone,
f09c,unlock,
f09d,credit-card,
f09e,rss,
f0a0,hard-drive,
f0a1,bullhorn,
f0a2,bell,
f0a3,certificate,
f0a4,hand-point-right,
f0a5,hand-point-left,
f0a6,hand-point-up,
f0a7,hand-point-down,
f0a8,circle-arrow-left,
f0a9,circle-arrow-right,
f0aa,circle-arrow-up,
f0ab,circle-arrow-down,
f0ac,globe,
f0ad,wrench,
f0ae,list-check,
f0b0,filter,
f0b1,briefcase,
f0b2,up-down-left-right,
f0c0,users,
f0c1,link,
f0c2,cloud,
f0c3,flask,
f0c4,scissors,
f0c5,copy,
f0c6,paperclip,
f0c7,floppy-disk,
f0c8,square,
f0c9,bars,
f0ca,list-ul,
f0cb,list-ol,
f0cc,strikethrough,
f0cd,underline,
f0ce,table,
f0d0,wand-magic,
f0d1,truck,
f0d6,money-bill,
f0d7,caret-down,
f0d8,caret-up,
f0d9,caret-left,
f0da,caret-right,
f0db,table-columns,
f0dc,sort,
f0dd,sort-down,
f0de,sort-up,
f0e0,envelope,
f0e2,arrow-rotate-left,
f0e3,gavel,
f0e4,gauge-simple-high,
f0e5,comment,
f0e6,comments,
f0e7,bolt,
f0e8,sitemap,
f0e9,umbrella,
f0ea,paste,
f0eb,lightbulb,
f0ec,arrow-right-arrow-left,
f0ed,cloud-arrow-down,
f0ee,cloud-arrow-up,
f0f0,user-doctor,
f0f1,stethoscope,
f0f2,suitcase,
f0f3,bell,
f0f4,mug-saucer,
f0f5,utensils,
f0f6,file-lines,
f0f7,building,
f0f8,hospital,
f0f9,truck-medical,
f0fa,suitcase-medical,
f0fb,jet-fighter,
f0fc,beer-mug-empty,
f0fd,square-h,
f0fe,square-plus,
f100,angles-left,
f101,angles-right,
f102,angles-up,
f103,angles-down,
f104,angle-left,
f105,angle-right,
f106,angle-up,
f107,angle-down,
f108,desktop,
f109,laptop,
f10a,tablet-button,
f10b,mobile-button,
f10c,circle,
f10d,quote-left,
f10e,quote-right,
f110,spinner,
f111,circle,
f112,reply,
f114,folder,
f115,folder-open,
f118,face-smile,
f119,face-frown,
f11a,face-meh,
f11b,gamepad,
f11c,keyboard,
f11d,flag,
f11e,flag-checkered,
f120,terminal,
f121,code,
f122,reply-all,
f123,star-half,
f124,location-arrow,
f125,crop,
f126,code-branch,
f127,link-slash,
f128,question,
f129,info,
f12a,exclamation,
f12b,superscript,
f12c,subscript,
f12d,eraser,
f12e,puzzle-piece,
f130,microphone,
f131,microphone-slash,
f132,shield,
f133,calendar,
f134,fire-extinguisher,
f135,rocket,
f137,circle-chevron-left,
f138,circle-chevron-right,
f139,circle-chevron-up,
f13a,circle-chevron-down,
f13d,anchor,
f13e,unlock-keyhole,
f140,bullseye,
f141,ellipsis,
f142,ellipsis-vertical,
f143,square-rss,
f144,circle-play,
f145,ticket,
f146,square-minus,
f147,square-minus,
f148,arrow-turn-up,
f149,arrow-turn-down,
f14a,square-check,
f14b,square-pen,
f14c,square-arrow-up-right,
f14d,share-from-square,
f14e,compass,
f150,square-caret-down,
f151,square-caret-up,
f152,square-caret-right,
f153,euro-sign,
f154,sterling-sign,
f155,dollar-sign,
f156,rupee-sign,
f157,yen-sign,
f158,ruble-sign,
f159,won-sign,
f15b,file,
f15c,file-lines,
f15d,arrow-down-a-z,
f15e,arrow-up-a-z,
f160,arrow-down-wide-short,
f161,arrow-up-wide-short,
f162,arrow-down-1-9,
f163,arrow-up-1-9,
f164,thumbs-up,
f165,thumbs-down,
f175,arrow-down-long,
f176,arrow-up-long,
f177,arrow-left-long,
f178,arrow-right-long,
f182,person-dress,
f183,person,
f185,sun,
f186,moon,
f187,box-archive,
f188,bug,
f18e,circle-right,
f190,circle-left,
f191,square-caret-left,
f192,circle-dot,
f193,wheelchair,
f195,lira-sign,
f196,square-plus,
f197,shuttle-space,
f199,square-envelope,
f19c,building-columns,
f19d,graduation-cap,
f1ab,language,
f1ac,fax,
f1ad,building,
f1ae,child,
f1b0,paw,
f1b1,spoon,
f1b2,cube,
f1b3,cubes,
f1b8,recycle,
f1b9,car,
f1ba,taxi,
f1bb,tree,
f1c0,database,
f1c1,file-pdf,
f1c2,file-word,
f1c3,file-excel,
f1c4,file-powerpoint,
f1c5,file-image,
f1c6,file-zipper,
f1c7,file-audio,
f1c8,file-video,
f1c9,file-code,
f1cd,life-ring,
f1ce,circle-notch,
f1d8,paper-plane,
f1d9,paper-plane,
f1da,clock-rotate-left,
f1db,circle,
f1dc,heading,
f1dd,paragraph,
f1de,sliders,
f1e0,share-nodes,
f1e1,square-share-nodes,
f1e2,bomb,
f1e3,futbol,
f1e4,tty,
f1e5,binoculars,
f1e6,plug,
f1ea,newspaper,
f1eb,wifi,
f1ec,calculator,
f1f6,bell-slash,
f1f7,bell-slash,
f1f8,trash,
f1f9,copyright,
f1fa,at,
f1fb,eye-dropper,
f1fc,paintbrush,
f1fd,cake-candles,
f1fe,chart-area,
f200,chart-pie,
f201,chart-line,
f204,toggle-off,
f205,toggle-on,
f206,bicycle,
f207,bus,
f20a,closed-captioning,
f20b,shekel-sign,
f217,cart-plus,
f218,cart-arrow-down,
f219,diamond,
f21a,ship,
f21b,user-secret,
f21c,motorcycle,
f21d,street-view,
f21e,heart-pulse,
f221,venus,
f222,mars,
f223,mercury,
f224,mars-and-venus,
f225,transgender,
f226,venus-double,
f227,mars-double,
f228,venus-mars,
f229,mars-stroke,
f22a,mars-stroke-up,
f22b,mars-stroke-right,
f22c,neuter,
f22d,genderless,
f233,server,
f234,user-plus,
f235,user-xmark,
f236,bed,
f238,train,
f239,train-subway,
f240,battery-full,
f241,battery-three-quarters,
f242,battery-half,
f243,battery-quarter,
f244,battery-empty,
f245,arrow-pointer,
f246,i-cursor,
f247,object-group,
f248,object-ungroup,
f249,note-sticky,
f24a,note-sticky,
f24d,clone,
f24e,scale-balanced,
f250,hourglass,
f251,hourglass-start,
f252,hourglass-half,
f253,hourglass-end,
f254,hourglass,
f255,hand-back-fist,
f256,hand,
f257,hand-scissors,
f258,hand-lizard,
f259,hand-spock,
f25a,hand-pointer,
f25b,hand-peace,
f25c,trademark,
f25d,registered,
f26c,tv,
f271,calendar-plus,
f272,calendar-minus,
f273,calendar-xmark,
f274,calendar-check,
f275,industry,
f276,map-pin,
f277,signs-post,
f278,map,
f279,map,
f27a,message,
f27b,comment-dots,
f283,credit-card,
f28b,circle-pause,
f28c,circle-pause,
f28d,circle-stop,
f28e,circle-stop,
f290,bag-shopping,
f291,basket-shopping,
f292,hashtag,
f293,bluetooth,
f295,percent,
f29a,universal-access,
f29c,circle-question,
f29d,person-walking-with-cane,
f29e,audio-description,
f2a0,phone-volume,
f2a1,braille,
f2a2,ear-listen,
f2a3,hands-asl-interpreting,
f2a4,ear-deaf,
f2a7,hands,
f2a8,eye-low-vision,
f2b4,font-awesome,
f2b5,handshake,
f2b6,envelope-open,
f2b7,envelope-open,
f2b9,address-book,
f2ba,address-book,
f2bb,address-card,
f2bc,address-card,
f2bd,circle-user,
f2be,circle-user,
f2c0,user,
f2c1,id-badge,
f2c2,id-card,
f2c3,id-card,
f2c7,temperature-full,
f2c8,temperature-three-quarters,
f2c9,temperature-half,
f2ca,temperature-quarter,
f2cb,temperature-empty,
f2cc,shower,
f2cd,bath,
f2ce,podcast,
f2d0,window-maximize,
f2d1,window-minimize,
f2d2,window-restore,
f2d3,square-xmark,
f2d4,rectangle-xmark,
f2db,microchip,
f2dc,snowflake,
f2e1,watch,
f2e2,volume-slash,
f2e3,fork,
f2e4,knife,
f2e5,spoon,
f2e6,fork-knife,
f2e7,utensils,
f2e8,circle-dollar,
f2e9,square-dollar,
f2ea,rotate-left,
f2eb,trophy-star,
f2ec,triangle,
f2ed,trash-can,
f2ee,hexagon-xmark,
f2f0,octagon-xmark,
f2f1,rotate,
f2f2,stopwatch,
f2f3,star-exclamation,
f2f4,spade,
f2f5,right-from-bracket,
f2f6,right-to-bracket,
f2f7,shield-check,
f2f8,scrubber,
f2f9,rotate-right,
f2fa,rectangle,
f2fb,rectangle-vertical,
f2fc,rectangle-wide,
f2fd,square-question,
f2fe,poo,
f300,hexagon-plus,
f301,octagon-plus,
f302,images,
f303,pencil,
f304,pen,
f305,pen-clip,
f306,octagon,
f307,hexagon-minus,
f308,octagon-minus,
f309,down-long,
f30a,left-long,
f30b,right-long,
f30c,up-long,
f30d,lock-keyhole,
f30e,jack-o-lantern,
f30f,square-info,
f310,inbox-in,
f311,inbox-out,
f312,hexagon,
f313,h1,
f314,h2,
f315,h3,
f316,file-check,
f317,file-xmark,
f318,file-minus,
f319,file-plus,
f31a,file-exclamation,
f31c,file-pen,
f31d,arrows-maximize,
f31e,maximize,
f320,expand-wide,
f321,square-exclamation,
f322,chevrons-down,
f323,chevrons-left,
f324,chevrons-right,
f325,chevrons-up,
f326,compress-wide,
f327,club,
f328,clipboard,
f329,square-chevron-down,
f32a,square-chevron-left,
f32b,square-chevron-right,
f32c,square-chevron-up,
f32d,circle-caret-down,
f32e,circle-caret-left,
f330,circle-caret-right,
f331,circle-caret-up,
f332,camera,
f333,calendar-pen,
f334,calendar-exclamation,
f335,badge,
f336,badge-check,
f337,left-right,
f338,up-down,
f339,square-arrow-down,
f33a,square-arrow-left,
f33b,square-arrow-right,
f33c,square-arrow-up,
f33d,arrow-down-to-line,
f33e,arrow-left-to-line,
f340,arrow-right-to-line,
f341,arrow-up-to-line,
f342,arrow-up-from-line,
f343,arrow-right-from-line,
f344,arrow-left-from-line,
f345,arrow-down-from-line,
f346,up-from-line,
f347,right-from-line,
f348,left-from-line,
f349,down-from-line,
f34a,down-to-line,
f34b,left-to-line,
f34c,right-to-line,
f34d,up-to-line,
f34e,alarm-clock,
f350,square-down,
f351,square-left,
f352,square-right,
f353,square-up,
f354,down,
f355,left,
f356,right,
f357,up,
f358,circle-down,
f359,circle-left,
f35a,circle-right,
f35b,circle-up,
f35d,up-right-from-square,
f360,square-up-right,
f361,arrows-retweet,
f362,right-left,
f363,repeat,
f364,arrows-repeat,
f365,repeat-1,
f366,arrows-repeat-1,
f367,share-all,
f376,battery-bolt,
f377,battery-slash,
f37e,browser,
f381,cloud-arrow-down,
f382,cloud-arrow-up,
f386,code-commit,
f387,code-merge,
f389,credit-card-blank,
