Unicode,Glyph Name,Character
e00a,garage-car,
e00b,garage-open,
e00c,heat,
e00d,house-chimney-window,
e00e,house-day,
e00f,house-person-leave,
e010,house-night,
e011,house-person-return,
e012,house-signal,
e014,lamp-desk,
e015,lamp-floor,
e016,light-ceiling,
e017,light-switch,
e018,light-switch-off,
e019,light-switch-on,
e01b,microwave,
e01c,outlet,
e01d,oven,
e01f,planet-moon,
e020,planet-ringed,
e021,police-box,
e022,person-to-portal,
e023,person-from-portal,
e024,radar,
e025,raygun,
e026,refrigerator,
e027,rocket-launch,
e028,sensor,
e029,sensor-triangle-exclamation,
e02a,sensor-fire,
e02b,sensor-on,
e02c,sensor-cloud,
e02d,siren,
e02e,siren-on,
e02f,solar-system,
e030,circle-sort,
e031,circle-sort-down,
e032,circle-sort-up,
e033,space-station-moon,
e034,space-station-moon-construction,
e035,sprinkler,
e036,star-shooting,
e037,starfighter,
e038,starfighter-twin-ion-engine,
e039,starship,
e03a,starship-freighter,
e03b,sword-laser,
e03c,sword-laser-alt,
e03d,swords-laser,
e03e,telescope,
e03f,temperature-arrow-down,
e040,temperature-arrow-up,
e041,trailer,
e042,transporter,
e043,transporter-1,
e044,transporter-2,
e045,transporter-3,
e046,transporter-empty,
e047,ufo,
e048,ufo-beam,
e04a,user-alien,
e04b,user-robot,
e04c,user-visor,
e04d,vacuum,
e04e,vacuum-robot,
e04f,window-frame,
e050,window-frame-open,
e051,coffin-cross,
e053,folder-arrow-down,
e054,folder-arrow-up,
e058,user-unlock,
e059,bacteria,
e05a,bacterium,
e05b,box-tissue,
e05c,hand-holding-medical,
e05d,hand-sparkles,
e05e,hands-bubbles,
e05f,handshake-simple-slash,
e060,handshake-slash,
e061,head-side-cough,
e062,head-side-cough-slash,
e063,head-side-mask,
e064,head-side-virus,
e065,house-chimney-user,
e066,house-laptop,
e067,lungs-virus,
e068,people-arrows,
e069,plane-slash,
e06a,pump-medical,
e06b,pump-soap,
e06c,shield-virus,
e06d,sink,
e06e,soap,
e06f,stopwatch-20,
e070,shop-slash,
e071,store-slash,
e072,toilet-paper-slash,
e073,users-slash,
e074,virus,
e075,virus-slash,
e076,viruses,
e085,vest,
e086,vest-patches,
e089,airplay,
e08a,alt,
e08c,angle,
e08d,angle-90,
e08f,apple-core,
e090,arrow-down-from-dotted-line,
e091,arrow-down-left,
e092,arrow-down-left-and-arrow-up-right-to-center,
e093,arrow-down-right,
e094,arrow-down-to-bracket,
e095,arrow-down-to-dotted-line,
e096,arrow-down-to-square,
e097,arrow-trend-down,
e098,arrow-trend-up,
e099,arrow-up-arrow-down,
e09a,arrow-up-from-bracket,
e09b,arrow-up-from-dotted-line,
e09c,arrow-up-from-square,
e09d,arrow-up-left,
e09e,arrow-up-left-from-circle,
e09f,arrow-up-right,
e0a0,arrow-up-right-and-arrow-down-left-from-center,
e0a1,arrow-up-to-dotted-line,
e0a2,arrows-cross,
e0a3,arrows-from-dotted-line,
e0a4,arrows-from-line,
e0a5,arrows-minimize,
e0a6,arrows-to-dotted-line,
e0a7,arrows-to-line,
e0a8,audio-description-slash,
e0a9,austral-sign,
e0aa,avocado,
e0ab,award-simple,
e0ac,baht-sign,
e0ad,bars-filter,
e0ae,bars-sort,
e0af,basket-shopping-simple,
e0b0,battery-exclamation,
e0b1,battery-low,
e0b2,bee,
e0b3,beer-mug,
e0b4,bitcoin-sign,
e0b5,block-quote,
e0b6,bolt-auto,
e0b7,bolt-lightning,
e0b8,bolt-slash,
e0b9,book-arrow-right,
e0ba,book-arrow-up,
e0bb,book-bookmark,
e0bc,book-circle-arrow-right,
e0bd,book-circle-arrow-up,
e0be,book-copy,
e0bf,book-font,
e0c0,book-open-cover,
e0c1,book-section,
e0c2,bookmark-slash,
e0c3,bowling-ball-pin,
e0c4,box-circle-check,
e0c5,brackets-round,
e0c6,brain-circuit,
e0c7,brake-warning,
e0c8,briefcase-blank,
e0c9,brightness,
e0ca,brightness-low,
e0cb,browsers,
e0cc,buildings,
e0cd,burger-fries,
e0ce,burger-glass,
e0cf,cable-car,
e0d0,calendar-arrow-down,
e0d1,calendar-arrow-up,
e0d2,calendar-clock,
e0d3,calendar-heart,
e0d4,calendar-image,
e0d5,calendar-lines,
e0d6,calendar-range,
e0d7,calendars,
e0d8,camera-rotate,
e0d9,camera-slash,
e0da,camera-viewfinder,
e0db,cart-minus,
e0dc,cart-shopping-fast,
e0dd,cart-xmark,
e0de,castle,
e0df,cedi-sign,
e0e1,chart-bullet,
e0e2,chart-candlestick,
e0e3,chart-column,
e0e4,chart-gantt,
e0e5,chart-line-up,
e0e6,chart-pyramid,
e0e7,chart-radar,
e0e8,chart-scatter-3d,
e0e9,chart-scatter-bubble,
